locus_tag	ftype	length_bp	gene	EC_number	COG	product
OAIAJOLK_00001	CDS	2397				ATP-dependent chaperone ClpB [Thiopseudomonas alkaliphila]
OAIAJOLK_00002	CDS	171				hypothetical protein
OAIAJOLK_00003	CDS	978				alpha-L-glutamate ligase-like protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00004	CDS	1527				inactive transglutaminase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00005	CDS	531				ATP-dependent zinc protease [Thiopseudomonas alkaliphila]
OAIAJOLK_00006	CDS	1152				MFS transporter [Thiopseudomonas alkaliphila]
OAIAJOLK_00007	CDS	456				hypothetical protein
OAIAJOLK_00008	CDS	627				alpha/beta fold hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00009	CDS	1347				tryptophan--tRNA ligase [Thiopseudomonas alkaliphila]
OAIAJOLK_00010	CDS	444				RNA polymerase-binding protein DksA [Thiopseudomonas alkaliphila]
OAIAJOLK_00011	CDS	351				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00012	CDS	870				zinc metallopeptidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00013	CDS	1764				thiol reductant ABC exporter subunit CydD [Thiopseudomonas alkaliphila]
OAIAJOLK_00014	CDS	1611				ATP-binding cassette domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00015	CDS	735				methyltransferase domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00016	CDS	444				ribonuclease HI [Thiopseudomonas alkaliphila]
OAIAJOLK_00017	CDS	717				DNA polymerase III subunit epsilon [Thiopseudomonas alkaliphila]
OAIAJOLK_00018	CDS	504				YeeE/YedE family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00019	CDS	411				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00020	CDS	864				MBL fold metallo-hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00021	CDS	435				TIGR01244 family sulfur transferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00022	CDS	1734				sulfate permease [Thiopseudomonas alkaliphila]
OAIAJOLK_00023	rRNA	1541				16S ribosomal RNA
OAIAJOLK_00024	tRNA	77				tRNA-Ile(gat)
OAIAJOLK_00025	tRNA	76				tRNA-Ala(tgc)
OAIAJOLK_00026	rRNA	2889				23S ribosomal RNA
OAIAJOLK_00027	rRNA	110				5S ribosomal RNA
OAIAJOLK_00028	CDS	600				CoA pyrophosphatase [Thiopseudomonas alkaliphila]
OAIAJOLK_00029	CDS	522				gamma carbonic anhydrase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00030	CDS	189				hypothetical protein
OAIAJOLK_00031	CDS	1182				formate-dependent phosphoribosylglycinamide formyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00032	CDS	186				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00033	CDS	636				endonuclease III [Thiopseudomonas alkaliphila]
OAIAJOLK_00034	CDS	1371				sodium:alanine symporter family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00035	CDS	501				thiol peroxidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00036	CDS	252				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00037	CDS	690				crotonase/enoyl-CoA hydratase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00038	rRNA	97				5S ribosomal RNA
OAIAJOLK_00039	CDS	600				CoA pyrophosphatase [Thiopseudomonas alkaliphila]
OAIAJOLK_00040	CDS	522				gamma carbonic anhydrase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00041	CDS	189				hypothetical protein
OAIAJOLK_00042	CDS	1182				formate-dependent phosphoribosylglycinamide formyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00043	CDS	186				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00044	CDS	636				endonuclease III [Thiopseudomonas alkaliphila]
OAIAJOLK_00045	CDS	1371				sodium:alanine symporter family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00046	CDS	501				thiol peroxidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00047	CDS	252				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00048	CDS	690				crotonase/enoyl-CoA hydratase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00049	CDS	270				sulfurtransferase TusA [Thiopseudomonas alkaliphila]
OAIAJOLK_00050	CDS	891				NAD(+) kinase [Thiopseudomonas alkaliphila]
OAIAJOLK_00051	CDS	963				metallophosphoesterase [Thiopseudomonas alkaliphila]
OAIAJOLK_00052	CDS	864				rhomboid family intramembrane serine protease [Thiopseudomonas alkaliphila]
OAIAJOLK_00053	CDS	276				hypothetical protein
OAIAJOLK_00054	CDS	849				hypothetical protein
