gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACANE010000011.1_1	77	1009	933	-1	0.482	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_2	1014	1469	456	-1	0.45	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_3	1462	1863	402	-1	0.46	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_4	1877	2440	564	-1	0.491	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_5	3112	3324	213	-1	0.362	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_6	3359	3934	576	-1	0.441	11	GGA/GAG/AGG	GENOMAD.105498.PC	1.87E-11	65	0	1	0	1	NA	NA	NA	PF19456	MobI protein
NZ_JACANE010000011.1_7	4298	5467	1170	-1	0.375	11	AGGAG	GENOMAD.124277.PC	7.57E-19	92	0	0	0	1	NA	NA	NA	PF05280;K02402;COG1645	Flagellar transcriptional activator (FlhC)
NZ_JACANE010000011.1_8	5485	6054	570	-1	0.432	11	None	GENOMAD.146032.PC	4.01E-08	55	0	1	0	1	NA	T_virB1	NA	PF06871;K03194;COG4764	TraH_2
NZ_JACANE010000011.1_9	6210	6800	591	1	0.425	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_10	6861	10052	3192	-1	0.466	11	GGA/GAG/AGG	GENOMAD.103323.PC	1.81E-122	424	0	1	0	1	NA	F_traG	NA	K12056	NA
NZ_JACANE010000011.1_11	10070	11521	1452	-1	0.467	11	AGGA	GENOMAD.094117.PC	1.28E-124	408	0	1	0	1	NA	F_traH	NA	K12072	NA
NZ_JACANE010000011.1_12	11518	12522	1005	-1	0.458	11	None	GENOMAD.084811.PC	5.84E-15	79	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
NZ_JACANE010000011.1_13	12612	14381	1770	-1	0.454	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_14	14768	16843	2076	1	0.337	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_15	16846	19467	2622	1	0.351	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_16	19584	20606	1023	-1	0.461	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
