gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_CP012358.1|provirus_339791_385821_323	339791	340945	1155	-1	0.459	11	GGAGG	GENOMAD.159447.VP	2.032e-22	103	0	0	1	2561	Caudoviricetes	NA	NA	PF12167;K14059;TIGR01634;COG4385	phage tail protein, P2 protein I family
NZ_CP012358.1|provirus_339791_385821_324	341114	342004	891	-1	0.469	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_325	342101	342466	366	-1	0.484	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_326	342547	342789	243	-1	0.498	11	AGGAG	GENOMAD.104715.VV	1.151e-17	78	0	0	0	2561	Caudoviricetes	NA	NA	COG5529	NA
NZ_CP012358.1|provirus_339791_385821_327	342800	343504	705	-1	0.451	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_328	343542	343658	117	-1	0.376	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_329	343655	343858	204	-1	0.466	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_330	343855	343989	135	-1	0.526	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_331	344062	344382	321	1	0.502	11	GGA/GAG/AGG	GENOMAD.061483.PP	3.66e-17	78	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_332	344408	344899	492	-1	0.516	11	GGAG/GAGG	GENOMAD.168140.VC	0.0004998	42	0	0	1	1	NA	NA	NA	PF00436;PF11242;TIGR00621;COG0629	Single-strand binding protein family
NZ_CP012358.1|provirus_339791_385821_333	344995	345711	717	1	0.300	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_334	345945	346706	762	-1	0.488	11	GGAG/GAGG	GENOMAD.053051.VV	6.967e-13	71	0	0	0	2561	Caudoviricetes	NA	NA	PF10772;PF02086;TIGR00571;COG0338	Bacteriophage HP1, Orf24; D12 class N6 adenine-specific DNA methyltransferase
NZ_CP012358.1|provirus_339791_385821_335	347060	347371	312	-1	0.426	11	AGGAG	GENOMAD.182365.PC	1.613e-08	53	0	0	0	1	NA	NA	NA	PF02694;K18925	Uncharacterised BCR, YnfA/UPF0060 family
NZ_CP012358.1|provirus_339791_385821_336	347455	347706	252	-1	0.425	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012358.1|provirus_339791_385821_337	347971	348534	564	-1	0.422	11	GGAG/GAGG	GENOMAD.209484.VP	2.902e-38	143	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
