gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACANB010000003.1|provirus_245263_253142_223	245263	246279	1017	-1	0.422	11	None	GENOMAD.212346.VP	2.182e-25	111	0	0	1	2561	Caudoviricetes	NA	NA	PF16452;PF06892;COG1974	Bacteriophage CI repressor C-terminal domain; Phage regulatory protein CII (CP76)
NZ_JACANB010000003.1|provirus_245263_253142_224	246279	247550	1272	-1	0.455	11	GGA/GAG/AGG	GENOMAD.226808.VP	3.804e-186	583	0	0	0	8016	Inoviridae	NA	NA	PF02486	Replication initiation factor
NZ_JACANB010000003.1|provirus_245263_253142_225	247626	248753	1128	-1	0.468	11	None	GENOMAD.056690.VV	5.423e-11	67	0	0	1	8016	Inoviridae	NA	NA	PF05707;COG4128;K10954	Zona occludens toxin, predicted ATPase
NZ_JACANB010000003.1|provirus_245263_253142_226	248760	249107	348	-1	0.376	11	GGA/GAG/AGG	GENOMAD.197598.VP	2.39e-17	79	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_227	249117	250373	1257	-1	0.463	11	GGAG/GAGG	GENOMAD.157669.VV	0.0001057	47	0	0	0	8016	Inoviridae	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_228	250527	250757	231	-1	0.515	11	AGGAG	GENOMAD.185875.VV	0.0009586	38	0	0	1	8016	Inoviridae	NA	NA	PF19199	NA
NZ_JACANB010000003.1|provirus_245263_253142_229	250775	251002	228	-1	0.482	11	GGAG/GAGG	GENOMAD.096881.VV	1.372e-28	109	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
NZ_JACANB010000003.1|provirus_245263_253142_230	251014	251211	198	-1	0.384	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_231	251223	251546	324	-1	0.444	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_232	251687	252229	543	-1	0.549	11	GGxGG	GENOMAD.202288.VV	6.953e-05	45	0	0	0	8016	Inoviridae	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_233	252226	252477	252	-1	0.492	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_234	252474	252860	387	-1	0.450	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000003.1|provirus_245263_253142_235	252864	253142	279	-1	0.437	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_24	23582	24070	489	-1	0.495	11	GGxGG	GENOMAD.195005.VP	8.539e-12	65	0	0	1	2561	Caudoviricetes	NA	NA	PF03245;K14744	Bacteriophage Rz lysis protein
