gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACANB010000013.1_1	64	393	330	1	0.555	11	None	GENOMAD.101150.PP	8.259e-10	57	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_2	442	975	534	-1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_3	1410	2087	678	-1	0.412	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_4	2087	5071	2985	-1	0.412	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_5	5105	8848	3744	-1	0.412	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_6	8870	11341	2472	-1	0.425	11	GGAG/GAGG	GENOMAD.033027.CC	1.621e-05	51	0	0	0	1	NA	NA	NA	PF16330;PF04310;PF10174;K03632;COG3096;TIGR00618	Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB
NZ_JACANB010000013.1_7	11334	13376	2043	-1	0.418	11	AGxAGG/AGGxGG	GENOMAD.215327.PC	1.369e-44	177	0	0	0	1	NA	NA	NA	PF20024	NA
NZ_JACANB010000013.1_8	13373	16918	3546	-1	0.435	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_9	16908	18401	1494	-1	0.428	11	AGGA	GENOMAD.210329.PC	8.158e-06	51	0	0	0	1	NA	NA	NA	PF19250;COG4248;K22893;TIGR03724	Uncharacterized protein with protein kinase and helix-hairpin-helix DNA-binding domains
NZ_JACANB010000013.1_10	18433	19167	735	-1	0.457	11	None	GENOMAD.180286.PC	4.782e-08	56	0	0	0	1	NA	NA	NA	PF13672;COG0631	Protein phosphatase 2C
NZ_JACANB010000013.1_11	19154	19684	531	-1	0.465	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_12	19671	20372	702	-1	0.434	11	GGAG/GAGG	GENOMAD.137708.PC	9.817e-11	64	0	0	0	1	NA	NA	NA	PF04056;COG4245;TIGR03436;K24508	Uncharacterized conserved protein YegL, contains vWA domain of TerY type
NZ_JACANB010000013.1_13	20509	21942	1434	-1	0.398	11	GGA/GAG/AGG	GENOMAD.167915.CP	4.352e-15	81	0	0	0	1	NA	NA	NA	PF09651;COG4006;TIGR02619	CRISPR/Cas system-associated protein Csm6, COG1517 family
NZ_JACANB010000013.1_14	22090	23121	1032	1	0.510	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_15	23486	23794	309	1	0.534	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_16	23794	24162	369	1	0.539	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_17	24193	25893	1701	1	0.560	11	GGA/GAG/AGG	GENOMAD.101150.PP	1.448e-07	57	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000013.1_18	25978	27171	1194	-1	0.384	11	GGAG/GAGG	GENOMAD.182295.CP	1.157e-22	104	0	0	0	1	NA	NA	NA	PF09623;TIGR02584;K19135;COG4006	CRISPR-associated protein NE0113 (Cas_NE0113)
