# macsyfinder 2.0
# models : CONJScan-2.0.1-2.0.1
# /usr/local/bin/macsyfinder --sequence-db /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/database/files/008/995/dataset_8995892.dat --db-type ordered_replicon --replicon-topology circular --models-dir /pasteur/zeus/projets/p00/galaxy-prod/galaxy-dist/tool-data/macsyfinder_data --models CONJScan-2.0.1/Plasmids all --worker 1 --out-dir output_dir
# Systems found:
replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
UserReplicon	NZ_JACANE010000011.1_8	T4SS_T_virB1	8	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_T_virB1	neutral	190	1.4e-06	21.400	0.825	0.589	67	178		UserReplicon_T4SS_typeT_4,UserReplicon_dCONJ_typeF_5,UserReplicon_dCONJ_typeT_6
UserReplicon	NZ_JACANE010000011.1_11	T4SS_F_traH	11	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_F_traH	accessory	484	4.1e-78	256.300	0.909	0.932	15	465		UserReplicon_dCONJ_typeF_5
UserReplicon	NZ_JACANE010000011.1_12	T4SS_F_traF	12	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_F_traF	accessory	335	1.3e-36	119.500	0.895	0.785	6	268		UserReplicon_dCONJ_typeF_5
UserReplicon	NZ_JACANE010000014.1_1	T4SS_MOBQ	44	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_MOBB	mandatory	231	9.9e-35	113.500	0.553	0.545	2	127		UserReplicon_MOB_1,UserReplicon_T4SS_typeT_4,UserReplicon_dCONJ_typeF_5,UserReplicon_dCONJ_typeT_6
UserReplicon	NZ_JACANE010000027.1_3	T4SS_MOBP1	64	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_MOBB	mandatory	118	2.2e-24	79.900	0.536	0.983	1	116		UserReplicon_MOB_1,UserReplicon_T4SS_typeT_4,UserReplicon_dCONJ_typeF_5,UserReplicon_dCONJ_typeT_6
UserReplicon	NZ_JACANE010000009.1_51	T4SS_MOBH	117	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_MOBB	mandatory	906	3.6e-61	199.600	1.000	0.225	38	241		UserReplicon_MOB_2,UserReplicon_T4SS_typeT_4,UserReplicon_dCONJ_typeF_5,UserReplicon_dCONJ_typeT_6
UserReplicon	NZ_JACANE010000009.1_52	T4SS_t4cp2	118	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_t4cp1	mandatory	640	1.8e-27	89.300	0.986	0.389	380	628		UserReplicon_MOB_2,UserReplicon_T4SS_typeT_4,UserReplicon_dCONJ_typeF_5,UserReplicon_dCONJ_typeT_6
UserReplicon	NZ_JACANE010000009.1_54	T4SS_G_tfc7	120	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_G_tfc7	neutral	213	2.3e-08	27.100	0.707	0.817	30	203		UserReplicon_dCONJ_typeF_5
UserReplicon	NZ_JACANE010000009.1_55	T4SS_F_traL	121	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_F_traL	accessory	94	1.9e-20	66.300	0.980	0.968	2	92		UserReplicon_dCONJ_typeF_5
UserReplicon	NZ_JACANE010000009.1_56	T4SS_F_traE	122	CONJScan-2.0.1/Plasmids/T4SS_typeF	UserReplicon_T4SS_typeF_3	1	1	1.000	7.600	1	T4SS_F_traE	accessory	210	2.4e-41	134.600	0.953	0.929	1	195		UserReplicon_dCONJ_typeF_5
