Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_001267175_1_ASM126717v1_genomic_gff,GCF_001267195_1_ASM126719v1_genomic_gff,GCF_001267215_1_ASM126721v1_genomic_gff,GCF_001267255_1_ASM126725v1_genomic_gff,GCF_001267275_1_ASM126727v1_genomic_gff,GCF_001267295_1_ASM126729v1_genomic_gff,GCF_001267315_1_ASM126731v1_genomic_gff,GCF_030328955_1_ASM3032895v1_genomic_gff,GCF_030328995_1_ASM3032899v1_genomic_gff,GCF_030329025_1_ASM3032902v1_genomic_gff
WP_053105724.1,,acetyl-CoA C-acyltransferase,10,10,1,78,2736,,,,1187,1190,1187,9b7e70dc9c6ece2c05dcc2e656b22969_2272,f703f9607fd873072b58ff69da1f6298_4422,7939b8df5802c39c46adb1416b02880c_75,5b8d0eb8742d50487a1e3a28fa195a18_2160,4291979d325094cc7b4bce3cd2bb2024_3833,a077d878693c9fd52ed3dbbed690b74f_3839,03f798c6314f9895224cd16f8bb35aa0_1436,0cad7609a72f054f1e5a773edfee880c_1733,b950933d1ddb7e03141c7b304a24a0b6_831,f8e40b63109f8c40a69745e5931a1674_41
WP_080996447.1,,TolC family protein,10,10,1,78,1335,,,,563,1475,1362,9b7e70dc9c6ece2c05dcc2e656b22969_4327,f703f9607fd873072b58ff69da1f6298_2526,7939b8df5802c39c46adb1416b02880c_1936,5b8d0eb8742d50487a1e3a28fa195a18_3983,4291979d325094cc7b4bce3cd2bb2024_2014,a077d878693c9fd52ed3dbbed690b74f_1882,03f798c6314f9895224cd16f8bb35aa0_3357,0cad7609a72f054f1e5a773edfee880c_1393,b950933d1ddb7e03141c7b304a24a0b6_3658,f8e40b63109f8c40a69745e5931a1674_1827
WP_053105189.1,,CinA family protein,10,10,1,78,330,,,,509,509,509,9b7e70dc9c6ece2c05dcc2e656b22969_108,f703f9607fd873072b58ff69da1f6298_112,7939b8df5802c39c46adb1416b02880c_2579,5b8d0eb8742d50487a1e3a28fa195a18_1931,4291979d325094cc7b4bce3cd2bb2024_4024,a077d878693c9fd52ed3dbbed690b74f_4015,03f798c6314f9895224cd16f8bb35aa0_4004,0cad7609a72f054f1e5a773edfee880c_3512,b950933d1ddb7e03141c7b304a24a0b6_2338,f8e40b63109f8c40a69745e5931a1674_4173
group_13,,phage integrase N-terminal SAM-like domain-containing protein,10,10,1,78,3138,,,,116,134,132,9b7e70dc9c6ece2c05dcc2e656b22969_1555,f703f9607fd873072b58ff69da1f6298_1408,7939b8df5802c39c46adb1416b02880c_3885,5b8d0eb8742d50487a1e3a28fa195a18_635,4291979d325094cc7b4bce3cd2bb2024_861,a077d878693c9fd52ed3dbbed690b74f_673,03f798c6314f9895224cd16f8bb35aa0_743,0cad7609a72f054f1e5a773edfee880c_3978,b950933d1ddb7e03141c7b304a24a0b6_4068,f8e40b63109f8c40a69745e5931a1674_862
WP_053102234.1,,universal stress protein,10,10,1,78,3740,,,,866,866,866,9b7e70dc9c6ece2c05dcc2e656b22969_531,f703f9607fd873072b58ff69da1f6298_578,7939b8df5802c39c46adb1416b02880c_3035,5b8d0eb8742d50487a1e3a28fa195a18_1457,4291979d325094cc7b4bce3cd2bb2024_4524,a077d878693c9fd52ed3dbbed690b74f_4566,03f798c6314f9895224cd16f8bb35aa0_4478,0cad7609a72f054f1e5a773edfee880c_4679,b950933d1ddb7e03141c7b304a24a0b6_4831,f8e40b63109f8c40a69745e5931a1674_4592
WP_053105273.1,,serine hydrolase domain-containing protein,10,10,1,78,3726,,,,1157,1157,1157,9b7e70dc9c6ece2c05dcc2e656b22969_553,f703f9607fd873072b58ff69da1f6298_600,7939b8df5802c39c46adb1416b02880c_3057,5b8d0eb8742d50487a1e3a28fa195a18_1435,4291979d325094cc7b4bce3cd2bb2024_4546,a077d878693c9fd52ed3dbbed690b74f_4544,03f798c6314f9895224cd16f8bb35aa0_4500,0cad7609a72f054f1e5a773edfee880c_4703,b950933d1ddb7e03141c7b304a24a0b6_4807,f8e40b63109f8c40a69745e5931a1674_4614
WP_080997005.1,,DNA translocase FtsK 4TM domain-containing protein,10,10,1,78,3701,,,,503,3008,1004,9b7e70dc9c6ece2c05dcc2e656b22969_591,f703f9607fd873072b58ff69da1f6298_638,7939b8df5802c39c46adb1416b02880c_3095,5b8d0eb8742d50487a1e3a28fa195a18_1397,4291979d325094cc7b4bce3cd2bb2024_4584,a077d878693c9fd52ed3dbbed690b74f_4506,03f798c6314f9895224cd16f8bb35aa0_4540,0cad7609a72f054f1e5a773edfee880c_4743,b950933d1ddb7e03141c7b304a24a0b6_4767,f8e40b63109f8c40a69745e5931a1674_4652
WP_053105295.1,,arylesterase,10,10,1,78,43,,,,620,620,620,9b7e70dc9c6ece2c05dcc2e656b22969_900,f703f9607fd873072b58ff69da1f6298_841,7939b8df5802c39c46adb1416b02880c_3280,5b8d0eb8742d50487a1e3a28fa195a18_1210,4291979d325094cc7b4bce3cd2bb2024_135,a077d878693c9fd52ed3dbbed690b74f_114,03f798c6314f9895224cd16f8bb35aa0_112,0cad7609a72f054f1e5a773edfee880c_3333,b950933d1ddb7e03141c7b304a24a0b6_738,f8e40b63109f8c40a69745e5931a1674_1447
recB,,exodeoxyribonuclease V subunit beta,10,10,1,78,3472,,,,3740,3740,3740,9b7e70dc9c6ece2c05dcc2e656b22969_1036,f703f9607fd873072b58ff69da1f6298_972,7939b8df5802c39c46adb1416b02880c_3413,5b8d0eb8742d50487a1e3a28fa195a18_1077,4291979d325094cc7b4bce3cd2bb2024_292,a077d878693c9fd52ed3dbbed690b74f_249,03f798c6314f9895224cd16f8bb35aa0_252,0cad7609a72f054f1e5a773edfee880c_3162,b950933d1ddb7e03141c7b304a24a0b6_3736,f8e40b63109f8c40a69745e5931a1674_1314
WP_158487685.1,,MucB/RseB C-terminal domain-containing protein,10,10,1,78,3430,,,,944,977,963,9b7e70dc9c6ece2c05dcc2e656b22969_1070,f703f9607fd873072b58ff69da1f6298_1008,7939b8df5802c39c46adb1416b02880c_3449,5b8d0eb8742d50487a1e3a28fa195a18_1041,4291979d325094cc7b4bce3cd2bb2024_328,a077d878693c9fd52ed3dbbed690b74f_283,03f798c6314f9895224cd16f8bb35aa0_288,0cad7609a72f054f1e5a773edfee880c_3128,b950933d1ddb7e03141c7b304a24a0b6_3772,f8e40b63109f8c40a69745e5931a1674_1280
