gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACAND010000026.1_1	120	2684	2565	-1	0.475	11	GGAG/GAGG	GENOMAD.146343.VC	3.454e-26	119	0	0	0	2561	Caudoviricetes	NA	NA	PF01637;K03697;TIGR02639;COG0542	ATP-dependent Clp protease ATP-binding subunit clpA
NZ_JACAND010000026.1_2	3326	4348	1023	-1	0.429	11	None	GENOMAD.212346.VP	1.044e-32	133	0	0	1	2561	Caudoviricetes	NA	NA	PF16452;PF06892;COG1974	Bacteriophage CI repressor C-terminal domain; Phage regulatory protein CII (CP76)
NZ_JACAND010000026.1_3	4348	5619	1272	-1	0.469	11	AGxAGG/AGGxGG	GENOMAD.226808.VP	3.187e-188	589	0	0	0	8016	Inoviridae	NA	NA	PF02486	Replication initiation factor
NZ_JACAND010000026.1_4	5695	6822	1128	-1	0.470	11	None	GENOMAD.056690.VV	4.699e-10	64	0	0	1	8016	Inoviridae	NA	NA	PF05707;COG4128;K10954	Zona occludens toxin, predicted ATPase
NZ_JACAND010000026.1_5	6829	7176	348	-1	0.382	11	GGA/GAG/AGG	GENOMAD.197598.VP	9.733e-19	83	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_6	7186	8472	1287	-1	0.488	11	GGAG/GAGG	GENOMAD.222416.VP	2.209e-08	59	0	0	0	8016	Inoviridae	NA	NA	NA	NA
NZ_JACAND010000026.1_7	8625	8855	231	-1	0.519	11	AGGAG	GENOMAD.185875.VV	0.0001907	40	0	0	1	8016	Inoviridae	NA	NA	PF19199	NA
NZ_JACAND010000026.1_8	8873	9100	228	-1	0.482	11	GGAG/GAGG	GENOMAD.096881.VV	1.372e-28	109	0	0	1	1	NA	NA	NA	PF17091	Inovirus G7P protein
NZ_JACAND010000026.1_9	9112	9312	201	-1	0.408	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_10	9324	9650	327	-1	0.437	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_11	9856	10365	510	-1	0.555	11	GGxGG	GENOMAD.202288.VV	0.0002609	43	0	0	0	8016	Inoviridae	NA	NA	NA	NA
NZ_JACAND010000026.1_12	10362	10613	252	-1	0.488	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_13	10610	10996	387	-1	0.452	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_14	11000	11278	279	-1	0.437	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_15	11320	11586	267	1	0.427	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_16	11635	12324	690	1	0.439	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000026.1_17	12917	13819	903	1	0.396	11	GGAG/GAGG	GENOMAD.182050.VC	4.245e-19	91	0	0	0	2561	Caudoviricetes	NA	NA	PF12645;K03087;TIGR02997;COG0568	RNA polymerase sigma factor, cyanobacterial RpoD-like family
NZ_JACAND010000026.1_18	14047	14730	684	1	0.478	11	AGGA	GENOMAD.141249.PP	2.881e-25	107	0	0	0	1	NA	NA	NA	PF18673	interleukin receptor mimic protein A
