gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACAND010000027.1_1	2	328	327	1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_2	341	2035	1695	1	0.564	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_3	2028	2534	507	1	0.604	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_4	2732	3046	315	-1	0.419	11	AGGAG	GENOMAD.145509.PV	6.823e-10	57	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_5	3148	4125	978	-1	0.640	11	AGGAG	GENOMAD.117306.PV	3.669e-72	248	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
NZ_JACAND010000027.1_6	5042	6166	1125	-1	0.568	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_7	6210	6839	630	-1	0.537	11	AGGA	GENOMAD.061183.VV	5.142e-05	46	0	0	0	1	NA	NA	NA	PF00239;K14060;COG1961	Resolvase, N terminal domain
NZ_JACAND010000027.1_8	7049	7876	828	-1	0.656	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_9	7873	8010	138	-1	0.674	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_10	8007	8237	231	-1	0.567	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_11	8332	9279	948	-1	0.629	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_12	9291	9476	186	-1	0.452	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_13	9498	12020	2523	-1	0.576	11	AGxAGG/AGGxGG	GENOMAD.090142.PC	1.831e-271	852	0	1	0	1	NA	MOBP1	NA	PF03432;PF18821	Relaxase/Mobilisation nuclease domain; Large polyvalent protein-associated domain 7
NZ_JACAND010000027.1_14	12010	12417	408	-1	0.483	11	GGAG/GAGG	GENOMAD.010065.PP	2.581e-16	77	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
NZ_JACAND010000027.1_15	12401	13132	732	-1	0.388	11	GGAG/GAGG	GENOMAD.129144.VP	5.013e-09	59	0	0	1	2561	Caudoviricetes	NA	NA	PF19237;COG2852;TIGR00632	Very-short-patch-repair endonuclease
NZ_JACAND010000027.1_16	13631	14038	408	1	0.525	11	AGGAG	GENOMAD.136316.PV	4.013e-20	88	0	0	0	1	NA	NA	NA	PF17273	NA
NZ_JACAND010000027.1_17	14050	14823	774	1	0.417	11	AGGA	GENOMAD.126298.PC	4.217e-05	47	0	0	0	1	NA	NA	NA	PF10609;K07321;TIGR03371;COG1348	NUBPL iron-transfer P-loop NTPase
NZ_JACAND010000027.1_18	14826	15104	279	1	0.498	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000030.1_1	95	679	585	1	0.568	11	None	GENOMAD.115234.CP	4.76e-25	105	0	0	0	1	NA	NA	NA	K07278;COG0729	Outer membrane translocation and assembly module TamA
NZ_JACAND010000030.1_2	676	5400	4725	1	0.600	11	None	GENOMAD.127324.PC	4.235e-133	468	0	0	0	1	NA	NA	NA	PF11843	NA
NZ_JACAND010000030.1_3	5477	6415	939	1	0.573	11	GGA/GAG/AGG	GENOMAD.177520.PC	5.45e-20	94	0	0	0	1	NA	NA	NF000107	PF03881;K18817;COG3001;TIGR00938	Fructosamine kinase
NZ_JACAND010000030.1_4	6879	7271	393	-1	0.565	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000032.1_1	35	2170	2136	-1	0.494	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000032.1_2	2205	4055	1851	-1	0.528	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000032.1_3	4070	4984	915	-1	0.423	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000033.1_1	1	588	588	1	0.621	11	None	GENOMAD.096843.PC	1.155e-129	407	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000033.1_2	1134	1511	378	1	0.320	11	AAA	GENOMAD.206099.CP	5.985e-20	87	0	0	0	1	NA	NA	NA	PF07366;COG5485;TIGR02096;K10533	SnoaL-like polyketide cyclase
NZ_JACAND010000033.1_3	1535	2671	1137	1	0.373	11	AAAA	GENOMAD.189578.PC	4.181e-47	177	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000033.1_4	2689	3549	861	1	0.369	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000033.1_5	3898	4434	537	1	0.354	11	AAAAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000035.1_1	96	371	276	-1	0.533	11	AGGAG	GENOMAD.004226.PP	1.048e-38	139	0	1	0	1	NA	NA	NA	PF12958	NA
NZ_JACAND010000035.1_2	542	2053	1512	1	0.642	11	GGAG/GAGG	GENOMAD.002761.PP	2.861e-16	85	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
