gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_CP012359.1|provirus_342725_366191_321	342725	343879	1155	-1	0.459	11	GGAGG	GENOMAD.159447.VP	2.032e-22	103	0	0	1	2561	Caudoviricetes	NA	NA	PF12167;K14059;TIGR01634;COG4385	phage tail protein, P2 protein I family
NZ_CP012359.1|provirus_342725_366191_322	344048	344938	891	-1	0.469	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_323	345035	345400	366	-1	0.484	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_324	345481	345723	243	-1	0.535	11	AGGAG	GENOMAD.104715.VV	8.98e-13	64	0	0	0	2561	Caudoviricetes	NA	NA	COG5529	NA
NZ_CP012359.1|provirus_342725_366191_325	345734	346438	705	-1	0.454	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_326	346476	346592	117	-1	0.376	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_327	346589	346792	204	-1	0.466	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_328	346789	346923	135	-1	0.526	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_329	347341	347832	492	-1	0.516	11	GGAG/GAGG	GENOMAD.168140.VC	0.0004998	42	0	0	1	1	NA	NA	NA	PF00436;PF11242;TIGR00621;COG0629	Single-strand binding protein family
NZ_CP012359.1|provirus_342725_366191_330	347928	348644	717	1	0.300	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_331	348878	349639	762	-1	0.488	11	GGAG/GAGG	GENOMAD.053051.VV	6.967e-13	71	0	0	0	2561	Caudoviricetes	NA	NA	PF10772;PF02086;TIGR00571;COG0338	Bacteriophage HP1, Orf24; D12 class N6 adenine-specific DNA methyltransferase
NZ_CP012359.1|provirus_342725_366191_332	349993	350304	312	-1	0.426	11	AGGAG	GENOMAD.182365.PC	1.613e-08	53	0	0	0	1	NA	NA	NA	PF02694;K18925	Uncharacterised BCR, YnfA/UPF0060 family
NZ_CP012359.1|provirus_342725_366191_333	350286	350639	354	-1	0.460	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_334	350904	351467	564	-1	0.445	11	GGAG/GAGG	GENOMAD.209484.VP	7.623e-36	136	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_335	351651	351842	192	-1	0.490	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_336	352470	352793	324	-1	0.494	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_337	353019	354035	1017	1	0.341	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_338	354072	354437	366	-1	0.505	11	GGAGG	GENOMAD.079109.VV	8.964e-14	69	0	0	0	2561	Caudoviricetes	NA	NA	PF05344;K01994;TIGR03879	NA
NZ_CP012359.1|provirus_342725_366191_339	354977	355414	438	-1	0.377	11	GGA/GAG/AGG	GENOMAD.209212.VC	3.095e-07	51	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012359.1|provirus_342725_366191_340	355407	356339	933	-1	0.378	11	AGGAG/GGAGG	GENOMAD.195316.VC	2.304e-60	213	0	0	0	2561	Caudoviricetes	NA	NA	PF20505	NA
NZ_CP012359.1|provirus_342725_366191_341	356443	357081	639	-1	0.462	11	None	GENOMAD.152743.VV	5.354e-05	46	0	0	0	2561	Caudoviricetes	NA	NA	PF08667;COG1974;TIGR00498;K21686	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
NZ_CP012359.1|provirus_342725_366191_342	357171	357410	240	1	0.450	11	GGA/GAG/AGG	GENOMAD.214816.VP	6.363e-23	93	0	0	0	2561	Caudoviricetes	NA	NA	PF06892;K22302;COG4197;TIGR00673	DNA-binding transcriptional regulator YdaS, prophage-encoded, Cro superfamily
