gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_CP012365.1|provirus_2347740_2396545_2209	2347740	2348894	1155	-1	0.459	11	GGAGG	GENOMAD.159447.VP	2.032e-22	103	0	0	1	2561	Caudoviricetes	NA	NA	PF12167;K14059;TIGR01634;COG4385	phage tail protein, P2 protein I family
NZ_CP012365.1|provirus_2347740_2396545_2210	2349063	2349953	891	-1	0.469	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2211	2350050	2350415	366	-1	0.484	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2212	2350496	2350738	243	-1	0.498	11	AGGAG	GENOMAD.104715.VV	1.151e-17	78	0	0	0	2561	Caudoviricetes	NA	NA	COG5529	NA
NZ_CP012365.1|provirus_2347740_2396545_2213	2350749	2351453	705	-1	0.451	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2214	2351491	2351607	117	-1	0.376	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2215	2351604	2351807	204	-1	0.466	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2216	2351804	2351938	135	-1	0.526	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2217	2352011	2352331	321	1	0.502	11	GGA/GAG/AGG	GENOMAD.061483.PP	3.66e-17	78	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2218	2352357	2352848	492	-1	0.516	11	GGAG/GAGG	GENOMAD.168140.VC	0.0004998	42	0	0	1	1	NA	NA	NA	PF00436;PF11242;TIGR00621;COG0629	Single-strand binding protein family
NZ_CP012365.1|provirus_2347740_2396545_2219	2352944	2353660	717	1	0.300	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2220	2353894	2354655	762	-1	0.488	11	GGAG/GAGG	GENOMAD.053051.VV	6.967e-13	71	0	0	0	2561	Caudoviricetes	NA	NA	PF10772;PF02086;TIGR00571;COG0338	Bacteriophage HP1, Orf24; D12 class N6 adenine-specific DNA methyltransferase
NZ_CP012365.1|provirus_2347740_2396545_2221	2355009	2355320	312	-1	0.426	11	AGGAG	GENOMAD.182365.PC	1.613e-08	53	0	0	0	1	NA	NA	NA	PF02694;K18925	Uncharacterised BCR, YnfA/UPF0060 family
NZ_CP012365.1|provirus_2347740_2396545_2222	2355404	2355655	252	-1	0.425	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2223	2355920	2356483	564	-1	0.422	11	GGAG/GAGG	GENOMAD.209484.VP	2.902e-38	143	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2224	2356480	2356680	201	-1	0.478	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2225	2356667	2356858	192	-1	0.484	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2226	2357486	2357809	324	-1	0.494	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2227	2358035	2359051	1017	1	0.341	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2228	2359088	2359453	366	-1	0.505	11	GGAGG	GENOMAD.079109.VV	8.964e-14	69	0	0	0	2561	Caudoviricetes	NA	NA	PF05344;K01994;TIGR03879	NA
NZ_CP012365.1|provirus_2347740_2396545_2229	2359993	2360430	438	-1	0.377	11	GGA/GAG/AGG	GENOMAD.209212.VC	3.095e-07	51	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2230	2360423	2361355	933	-1	0.378	11	AGGAG/GGAGG	GENOMAD.195316.VC	2.304e-60	213	0	0	0	2561	Caudoviricetes	NA	NA	PF20505	NA
NZ_CP012365.1|provirus_2347740_2396545_2231	2361459	2362097	639	-1	0.462	11	None	GENOMAD.152743.VV	5.354e-05	46	0	0	0	2561	Caudoviricetes	NA	NA	PF08667;COG1974;TIGR00498;K21686	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
NZ_CP012365.1|provirus_2347740_2396545_2232	2362187	2362426	240	1	0.450	11	GGA/GAG/AGG	GENOMAD.214816.VP	6.363e-23	93	0	0	0	2561	Caudoviricetes	NA	NA	PF06892;K22302;COG4197;TIGR00673	DNA-binding transcriptional regulator YdaS, prophage-encoded, Cro superfamily
NZ_CP012365.1|provirus_2347740_2396545_2233	2362535	2363308	774	1	0.506	11	AGxAGG/AGGxGG	GENOMAD.146414.VP	7.915e-49	177	0	0	0	2561	Caudoviricetes	NA	NA	PF03374;COG3646;TIGR02681	Phage regulatory protein Rha
NZ_CP012365.1|provirus_2347740_2396545_2234	2363305	2364084	780	1	0.455	11	GGxGG	GENOMAD.192388.VP	3.635e-13	72	0	0	0	2561	Caudoviricetes	NA	NA	PF09524	NA
NZ_CP012365.1|provirus_2347740_2396545_2235	2364081	2364755	675	1	0.550	11	GGAGG	GENOMAD.120801.VV	2.252e-39	148	0	0	1	2561	Caudoviricetes	NA	NA	PF06992	Replication protein P
NZ_CP012365.1|provirus_2347740_2396545_2236	2364752	2364988	237	1	0.515	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2237	2364985	2366187	1203	1	0.510	11	GGAG/GAGG	GENOMAD.159247.VP	8.322e-31	129	0	0	0	2561	Caudoviricetes	NA	NA	PF06926	NA
NZ_CP012365.1|provirus_2347740_2396545_2238	2366272	2366565	294	1	0.548	11	GGAG/GAGG	GENOMAD.093981.VV	6.357e-08	51	0	0	1	2561	Caudoviricetes	NA	NA	PF15777;TIGR03655;COG1996	Tryptophan RNA-binding attenuator protein inhibitory protein
NZ_CP012365.1|provirus_2347740_2396545_2239	2366552	2366758	207	1	0.488	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2240	2366755	2367102	348	1	0.509	11	AGGAG	GENOMAD.096069.VV	5.93e-32	121	0	0	0	2561	Caudoviricetes	NA	NA	PF05866;K01160;COG4570	Holliday junction resolvase RusA (prophage-encoded endonuclease)
